Lea State,LEA,School State,School,ID,Year,Category,Amount,Full Time Equivalent (FTE),American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
NJ,NEWARK,NJ,SOUTH SEVENTEENTH ST,341134002354,2009,Total enrollment,,,0.00,0.00,0.00,50.00,400.00,0.00,0.00,455.00,60.00,0.00,0.00
NJ,NEWARK,NJ,THIRTEENTH AVE,341134002364,2009,Personnel salaries at school level - total,4432752.00,,,,,,,,,,,,
NJ,NEWARK,NJ,THIRTEENTH AVE,341134002364,2009,Personnel salaries at school level - instructional staff only,2692801.00,,,,,,,,,,,,
NJ,NEWARK,NJ,THIRTEENTH AVE,341134002364,2009,Non-personnel expenditures at school level,160072.00,,,,,,,,,,,,
NJ,NEWARK,NJ,THIRTEENTH AVE,341134002364,2009,Personnel salaries at school level - teachers only,2601910.00,37.00,,,,,,,,,,,
NJ,NEWARK,NJ,THIRTEENTH AVE,341134002364,2009,Total enrollment,,,0.00,0.00,0.00,75.00,525.00,0.00,0.00,600.00,120.00,0.00,5.00
NJ,NEWARK,NJ,SAMUEL L BERLINER,341134005913,2009,Personnel salaries at school level - total,869651.00,,,,,,,,,,,,
NJ,NEWARK,NJ,SAMUEL L BERLINER,341134005913,2009,Personnel salaries at school level - instructional staff only,217551.00,,,,,,,,,,,,
NJ,NEWARK,NJ,SAMUEL L BERLINER,341134005913,2009,Non-personnel expenditures at school level,30775.00,,,,,,,,,,,,
NJ,NEWARK,NJ,SAMUEL L BERLINER,341134005913,2009,Personnel salaries at school level - teachers only,217551.00,4.00,,,,,,,,,,,
NJ,NEWARK,NJ,SAMUEL L BERLINER,341134005913,2009,Total enrollment,,,0.00,0.00,0.00,5.00,40.00,0.00,0.00,50.00,50.00,0.00,0.00
NJ,NEWARK,NJ,ROSEVILLE AVE SCHOOL,341134006006,2009,Personnel salaries at school level - total,1723785.00,,,,,,,,,,,,
NJ,NEWARK,NJ,ROSEVILLE AVE SCHOOL,341134006006,2009,Personnel salaries at school level - instructional staff only,1022364.00,,,,,,,,,,,,
NJ,NEWARK,NJ,ROSEVILLE AVE SCHOOL,341134006006,2009,Non-personnel expenditures at school level,50661.00,,,,,,,,,,,,
NJ,NEWARK,NJ,ROSEVILLE AVE SCHOOL,341134006006,2009,Personnel salaries at school level - teachers only,974793.00,16.00,,,,,,,,,,,
NJ,NEWARK,NJ,ROSEVILLE AVE SCHOOL,341134006006,2009,Total enrollment,,,0.00,0.00,0.00,65.00,105.00,0.00,0.00,170.00,0.00,0.00,15.00
