Lea State,LEA,School State,School,ID,Year,Category,Amount,Full Time Equivalent (FTE),American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
GA,ATLANTA CITY,GA,MILES ELEMENTARY SCHOOL,130012000063,2009,Personnel salaries at school level - instructional staff only,4267566.00,,,,,,,,,,,,
GA,ATLANTA CITY,GA,MILES ELEMENTARY SCHOOL,130012000063,2009,Non-personnel expenditures at school level,636049.00,,,,,,,,,,,,
GA,ATLANTA CITY,GA,MILES ELEMENTARY SCHOOL,130012000063,2009,Personnel salaries at school level - teachers only,3728878.00,29.10,,,,,,,,,,,
GA,ATLANTA CITY,GA,MILES ELEMENTARY SCHOOL,130012000063,2009,Total enrollment,,,0.00,0.00,0.00,0.00,450.00,0.00,0.00,455.00,60.00,0.00,5.00
GA,ATLANTA CITY,GA,HERNDON ELEMENTARY,130012000065,2009,Personnel salaries at school level - total,3561021.00,,,,,,,,,,,,
GA,ATLANTA CITY,GA,HERNDON ELEMENTARY,130012000065,2009,Personnel salaries at school level - instructional staff only,3049290.00,,,,,,,,,,,,
GA,ATLANTA CITY,GA,HERNDON ELEMENTARY,130012000065,2009,Non-personnel expenditures at school level,511645.00,,,,,,,,,,,,
GA,ATLANTA CITY,GA,HERNDON ELEMENTARY,130012000065,2009,Personnel salaries at school level - teachers only,2410662.00,24.20,,,,,,,,,,,
GA,ATLANTA CITY,GA,HERNDON ELEMENTARY,130012000065,2009,Total enrollment,,,0.00,0.00,0.00,5.00,240.00,0.00,0.00,245.00,25.00,0.00,0.00
GA,ATLANTA CITY,GA,GRADY HIGH SCHOOL,130012000066,2009,Personnel salaries at school level - total,10577712.00,,,,,,,,,,,,
GA,ATLANTA CITY,GA,GRADY HIGH SCHOOL,130012000066,2009,Personnel salaries at school level - instructional staff only,9395626.00,,,,,,,,,,,,
