Data Source,World Development Indicators,,,,,,
,,,,,,,
Last Updated Date,5/2/18,,,,,,
,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2014,2015,2016,2017
St. Lucia,LCA,"Population, total",SP.POP.TOTL,176421,177206,178015,
Latin America & Caribbean,LCN,"Population, total",SP.POP.TOTL,624335544,631062661,637668677,
Least developed countries: UN classification,LDC,"Population, total",SP.POP.TOTL,934192321,956631108,979387925,
Low income,LIC,"Population, total",SP.POP.TOTL,624759914,641858608,659272676,
Liechtenstein,LIE,"Population, total",SP.POP.TOTL,37127,37403,37666,
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,20771000,20966000,21203000,
Lower middle income,LMC,"Population, total",SP.POP.TOTL,2929010331,2971878425,3014788232,
Low & middle income,LMY,"Population, total",SP.POP.TOTL,6095235753,6174437347,6254072964,
Lesotho,LSO,"Population, total",SP.POP.TOTL,2145785,2174645,2203821,
Late-demographic dividend,LTE,"Population, total",SP.POP.TOTL,2237202264,2250758316,2264565982,
Lithuania,LTU,"Population, total",SP.POP.TOTL,2932367,2904910,2868231,
Luxembourg,LUX,"Population, total",SP.POP.TOTL,556319,569604,582014,
Latvia,LVA,"Population, total",SP.POP.TOTL,1993782,1977527,1959537,
"Macao SAR, China",MAC,"Population, total",SP.POP.TOTL,588781,600942,612167,
St. Martin (French part),MAF,"Population, total",SP.POP.TOTL,31530,31754,31949,
Morocco,MAR,"Population, total",SP.POP.TOTL,34318082,34803322,35276786,
Monaco,MCO,"Population, total",SP.POP.TOTL,38132,38307,38499,
Moldova,MDA,"Population, total",SP.POP.TOTL,3556397,3554108,3551954,
Madagascar,MDG,"Population, total",SP.POP.TOTL,23589801,24234088,24894551,
Maldives,MDV,"Population, total",SP.POP.TOTL,408247,418403,427756,
Middle East & North Africa,MEA,"Population, total",SP.POP.TOTL,421022841,428961724,436720093,
Mexico,MEX,"Population, total",SP.POP.TOTL,124221600,125890949,127540423,
Marshall Islands,MHL,"Population, total",SP.POP.TOTL,52898,52994,53066,
Middle income,MIC,"Population, total",SP.POP.TOTL,5470475839,5532578739,5594800288,
"Macedonia, FYR",MKD,"Population, total",SP.POP.TOTL,2077495,2079308,2081206,
Mali,MLI,"Population, total",SP.POP.TOTL,16962846,17467905,17994837,
Malta,MLT,"Population, total",SP.POP.TOTL,427364,431874,437418,
Myanmar,MMR,"Population, total",SP.POP.TOTL,51924182,52403669,52885223,
Middle East & North Africa (excluding high income),MNA,"Population, total",SP.POP.TOTL,361077997,367449306,373719055,
Montenegro,MNE,"Population, total",SP.POP.TOTL,621810,622159,622303,
Mongolia,MNG,"Population, total",SP.POP.TOTL,2923896,2976877,3027398,
Northern Mariana Islands,MNP,"Population, total",SP.POP.TOTL,54468,54816,55023,
Mozambique,MOZ,"Population, total",SP.POP.TOTL,27212382,28010691,28829476,
Mauritania,MRT,"Population, total",SP.POP.TOTL,4063920,4182341,4301018,
Mauritius,MUS,"Population, total",SP.POP.TOTL,1260934,1262605,1263473,
Malawi,MWI,"Population, total",SP.POP.TOTL,17068838,17573607,18091575,
Malaysia,MYS,"Population, total",SP.POP.TOTL,30228017,30723155,31187265,
North America,NAC,"Population, total",SP.POP.TOTL,354163943,356794381,359457493,
Namibia,NAM,"Population, total",SP.POP.TOTL,2370992,2425561,2479713,
New Caledonia,NCL,"Population, total",SP.POP.TOTL,268000,272000,277000,
Niger,NER,"Population, total",SP.POP.TOTL,19148219,19896965,20672987,
Nigeria,NGA,"Population, total",SP.POP.TOTL,176460502,181181744,185989640,
Nicaragua,NIC,"Population, total",SP.POP.TOTL,6013997,6082035,6149928,
Netherlands,NLD,"Population, total",SP.POP.TOTL,16865008,16939923,17030314,
